id;latitude;longitude
IRJ;-22.80118791995254;-43.347953176084495
XAP;-27.00098702010198;-52.652606771840524
SDR;-22.45676362769558;-44.41378638336371
VOT;-20.4511947612515;-49.89090467612616
VIX;-20.159280790468877;-40.23974523295941
GRU;-23.454484646117994;-46.485824342712576
